コード	銘柄名	株数	取得単価	現在値	損益	PER	PBR	ROE	配当利回り	自己資本比率	営業利益率	業種	直近材料	情報源
4568	第一三共	未保有	対象外	2536	対象外	17.75	2.77	15.62	3.94	41.55	10.79	医薬品	📈【A】 ROE15.62・配当3.94。 【ファンダメンタル確認値】現在値2536、PER17.75、PBR2.77、ROE15.62、配当利回り3.94、自己資本比率41.55、営業利益率10.79 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4666	パーク２４	未保有	対象外	2066	対象外	8.02	3.19	39.79	3.15	32.12	9.25	不動産業	📈【A】 業績予想修正・優待再開、ROE39.79。 【ファンダメンタル確認値】現在値2066、PER8.02、PBR3.19、ROE39.79、配当利回り3.15、自己資本比率32.12、営業利益率9.25 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4689	Ｚホールディングス	未保有	対象外	410	対象外	14.52	0.94	6.46	2.68	26.76	16.76	情報・通信業	📈【B】 M&A材料あり、決算短信訂正もあり。 【ファンダメンタル確認値】現在値410、PER14.52、PBR0.94、ROE6.46、配当利回り2.68、自己資本比率26.76、営業利益率16.76 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4755	楽天グループ	未保有	対象外	690	対象外	赤字	1.66	赤字	0.00	3.07	0.58	サービス業	📉【D】 赤字・無配・自己資本比率低い。 【ファンダメンタル確認値】現在値690、PER赤字、PBR1.66、ROE赤字、配当利回り0.00、自己資本比率3.07、営業利益率0.58 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4768	大塚商会	未保有	対象外	2764	対象外	17.15	2.67	15.58	3.44	52.35	6.71	情報・通信業	📈【A】 ROE・配当・財務バランス良好。 【ファンダメンタル確認値】現在値2764、PER17.15、PBR2.67、ROE15.58、配当利回り3.44、自己資本比率52.35、営業利益率6.71 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4826	ＣＩＪ	未保有	対象外	497	対象外	16.69	1.88	11.28	4.02	75.83	8.07	情報・通信業	📈【A】 業績・配当予想修正、自社株買い終了。 【ファンダメンタル確認値】現在値497、PER16.69、PBR1.88、ROE11.28、配当利回り4.02、自己資本比率75.83、営業利益率8.07 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4837	シダックス	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	サービス業	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4911	資生堂	未保有	対象外	2505	対象外	23.83	1.65	6.92	2.40	47.78	-2.97	化学	➖【C】 黒字回復予想だが強材料限定。 【ファンダメンタル確認値】現在値2505、PER23.83、PBR1.65、ROE6.92、配当利回り2.40、自己資本比率47.78、営業利益率-2.97 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4912	ライオン	未保有	対象外	1725	対象外	19.09	1.48	7.74	1.97	62.11	6.87	化学	➖【C】 財務安定、強材料限定。 【ファンダメンタル確認値】現在値1725、PER19.09、PBR1.48、ROE7.74、配当利回り1.97、自己資本比率62.11、営業利益率6.87 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4921	ファンケル	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	化学	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4922	コーセー	未保有	対象外	5024	対象外	23.62	1.02	4.33	2.99	72.14	5.38	化学	➖【C】 財務厚いがROE低め。 【ファンダメンタル確認値】現在値5024、PER23.62、PBR1.02、ROE4.33、配当利回り2.99、自己資本比率72.14、営業利益率5.38 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4928	ノエビアホールディングス	未保有	対象外	4365	対象外	18.18	3.05	16.78	5.27	68.11	17.11	化学	📈【A】 ROE16.78・配当5.27。 【ファンダメンタル確認値】現在値4365、PER18.18、PBR3.05、ROE16.78、配当利回り5.27、自己資本比率68.11、営業利益率17.11 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
4967	小林製薬	未保有	対象外	5580	対象外	41.48	1.99	4.81	1.90	81.65	9.00	化学	📉【D】 PER高・ROE低、信頼回復リスク。 【ファンダメンタル確認値】現在値5580、PER41.48、PBR1.99、ROE4.81、配当利回り1.90、自己資本比率81.65、営業利益率9.00 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
5015	ビーピー・カストロール	未保有	対象外	1008	対象外	20.26	2.36	11.65	4.96	76.23	10.63	石油・石炭製品	➖【C】 高配当・高自己資本だが中東情勢リスク。 【ファンダメンタル確認値】現在値1008、PER20.26、PBR2.36、ROE11.65、配当利回り4.96、自己資本比率76.23、営業利益率10.63 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
5020	ＥＮＥＯＳホールディングス	未保有	対象外	1215	対象外	7.88	0.97	12.32	2.80	37.05	0.86	石油・石炭製品	📈【A】 自社株買い・消却、低PER/PBR。 【ファンダメンタル確認値】現在値1215、PER7.88、PBR0.97、ROE12.32、配当利回り2.80、自己資本比率37.05、営業利益率0.86 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
5110	住友ゴム工業	未保有	対象外	2176	対象外	10.40	0.79	7.58	3.86	48.69	1.36	ゴム製品	📈【B】 低PER・PBR1倍割れ・配当3.86。 【ファンダメンタル確認値】現在値2176、PER10.40、PBR0.79、ROE7.58、配当利回り3.86、自己資本比率48.69、営業利益率1.36 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
5191	住友理工	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	ゴム製品	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
5233	太平洋セメント	未保有	対象外	4087	対象外	9.50	0.67	7.05	2.94	46.01	6.37	ガラス・土石製品	📈【A】 米Vulcan社資産買収完了。 【ファンダメンタル確認値】現在値4087、PER9.50、PBR0.67、ROE7.05、配当利回り2.94、自己資本比率46.01、営業利益率6.37 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
5332	ＴＯＴＯ	未保有	対象外	8533	対象外	30.50	2.66	8.71	1.41	63.82	6.09	ガラス・土石製品	📈【A】 増配材料。 【ファンダメンタル確認値】現在値8533、PER30.50、PBR2.66、ROE8.71、配当利回り1.41、自己資本比率63.82、営業利益率6.09 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
5411	ＪＦＥホールディングス	未保有	対象外	1546	対象外	6.56	0.38	5.73	5.17	44.43	4.27	鉄鋼	📈【B】 低PER・PBR・高配当。 【ファンダメンタル確認値】現在値1546、PER6.56、PBR0.38、ROE5.73、配当利回り5.17、自己資本比率44.43、営業利益率4.27 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
5943	ノーリツ	未保有	対象外	2363	対象外	11.89	0.72	6.03	4.20	61.18	1.18	金属製品	📈【B】 自己株式取得状況、高配当・PBR1倍割れ。 【ファンダメンタル確認値】現在値2363、PER11.89、PBR0.72、ROE6.03、配当利回り4.20、自己資本比率61.18、営業利益率1.18 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
5949	ユニプレス	未保有	対象外	1220	対象外	12.09	0.41	3.39	5.74	45.37	3.26	輸送用機器	📈【B】 中計・配当。低PBR高配当だがROE低い。 【ファンダメンタル確認値】現在値1220、PER12.09、PBR0.41、ROE3.39、配当利回り5.74、自己資本比率45.37、営業利益率3.26 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6027	弁護士ドットコム	未保有	対象外	2050	対象外	22.97	6.46	28.11	0.00	53.18	13.53	サービス業	📈【A】 法務AIエージェント化、ROE高い。 【ファンダメンタル確認値】現在値2050、PER22.97、PBR6.46、ROE28.11、配当利回り0.00、自己資本比率53.18、営業利益率13.53 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6080	Ｍ＆Ａキャピタルパートナーズ	未保有	対象外	3390	対象外	14.88	2.36	15.89	2.02	79.19	34.62	サービス業	📈【A】 岐阜新聞社との業務提携。 【ファンダメンタル確認値】現在値3390、PER14.88、PBR2.36、ROE15.89、配当利回り2.02、自己資本比率79.19、営業利益率34.62 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6178	日本郵政	未保有	対象外	2161	対象外	15.96	0.62	3.91	2.78	3.35	9.37	サービス業	📈【A】 自己株式取得終了・中計。 【ファンダメンタル確認値】現在値2161、PER15.96、PBR0.62、ROE3.91、配当利回り2.78、自己資本比率3.35、営業利益率9.37 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6228	ジェイ・イー・ティ	未保有	対象外	512	対象外	赤字	0.69	赤字	0.00	49.82	-10.18	機械	📉【D】 猶予期間入り・違約金徴求。 【ファンダメンタル確認値】現在値512、PER赤字、PBR0.69、ROE赤字、配当利回り0.00、自己資本比率49.82、営業利益率-10.18 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6273	ＳＭＣ	未保有	対象外	71630	対象外	26.60	2.14	8.04	1.40	91.49	22.62	機械	📈【B】 自己株式取得状況。 【ファンダメンタル確認値】現在値71630、PER26.60、PBR2.14、ROE8.04、配当利回り1.40、自己資本比率91.49、営業利益率22.62 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6298	ワイエイシイホールディングス	未保有	対象外	1380	対象外	12.25	1.45	11.81	3.26	38.66	4.98	機械	📉【D】 決算短信訂正と株主提案関連。 【ファンダメンタル確認値】現在値1380、PER12.25、PBR1.45、ROE11.81、配当利回り3.26、自己資本比率38.66、営業利益率4.98 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6355	住友精密工業	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	機械	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6366	千代田化工建設	未保有	対象外	687	対象外	14.84	1.56	10.54	0.00	22.16	16.62	建設業	📉【D】 無配・自己資本比率低め、資料差替。 【ファンダメンタル確認値】現在値687、PER14.84、PBR1.56、ROE10.54、配当利回り0.00、自己資本比率22.16、営業利益率16.62 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6420	フクシマガリレイ	未保有	対象外	3290	対象外	10.66	1.16	10.92	2.71	73.36	12.32	機械	📈【B】 指標良好だが決算短信訂正・監査人異動。 【ファンダメンタル確認値】現在値3290、PER10.66、PBR1.16、ROE10.92、配当利回り2.71、自己資本比率73.36、営業利益率12.32 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6460	セガサミーホールディングス	未保有	対象外	2175	対象外	13.56	1.24	9.16	2.53	56.53	9.67	機械	📈【B】 決算・経営体制。 【ファンダメンタル確認値】現在値2175、PER13.56、PBR1.24、ROE9.16、配当利回り2.53、自己資本比率56.53、営業利益率9.67 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6501	日立製作所	未保有	対象外	4478	対象外	23.71	3.07	12.94	1.12	43.67	11.33	電気機器	📈【A】 Investor Day 2026、中計関連。 【ファンダメンタル確認値】現在値4478、PER23.71、PBR3.07、ROE12.94、配当利回り1.12、自己資本比率43.67、営業利益率11.33 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6502	東芝	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	電気機器	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6503	三菱電機	未保有	対象外	5858	対象外	25.24	2.67	10.59	0.94	60.95	7.35	電気機器	📈【B】 IR Day材料、決算短信訂正。 【ファンダメンタル確認値】現在値5858、PER25.24、PBR2.67、ROE10.59、配当利回り0.94、自己資本比率60.95、営業利益率7.35 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6506	安川電機	未保有	対象外	6810	対象外	37.58	3.65	9.72	1.06	59.52	8.73	電気機器	➖【C】 FA・ロボット関連だがPER高め。 【ファンダメンタル確認値】現在値6810、PER37.58、PBR3.65、ROE9.72、配当利回り1.06、自己資本比率59.52、営業利益率8.73 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6645	オムロン	未保有	対象外	5612	対象外	40.13	1.32	3.29	1.85	55.13	7.81	電気機器	📈【B】 TOB材料ありだがROE低い。 【ファンダメンタル確認値】現在値5612、PER40.13、PBR1.32、ROE3.29、配当利回り1.85、自己資本比率55.13、営業利益率7.81 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6701	日本電気	未保有	対象外	3795	対象外	18.63	2.29	12.30	1.05	49.18	10.05	電気機器	📈【A】 2030中計策定。 【ファンダメンタル確認値】現在値3795、PER18.63、PBR2.29、ROE12.30、配当利回り1.05、自己資本比率49.18、営業利益率10.05 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6702	富士通	未保有	対象外	3199	対象外	17.90	2.74	15.31	1.72	59.56	9.94	電気機器	📈【A】 中長期経営ビジョン2035。 【ファンダメンタル確認値】現在値3199、PER17.90、PBR2.74、ROE15.31、配当利回り1.72、自己資本比率59.56、営業利益率9.94 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6724	セイコーエプソン	未保有	対象外	2692	対象外	14.62	1.01	6.91	2.97	55.61	3.51	電気機器	📉【D】 減損損失・業績予想差異。 【ファンダメンタル確認値】現在値2692、PER14.62、PBR1.01、ROE6.91、配当利回り2.97、自己資本比率55.61、営業利益率3.51 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6741	日本信号	未保有	対象外	1590	対象外	9.92	0.87	8.75	3.52	66.39	10.26	電気機器	📈【A】 増配修正履歴、低PBR・財務安定。 【ファンダメンタル確認値】現在値1590、PER9.92、PBR0.87、ROE8.75、配当利回り3.52、自己資本比率66.39、営業利益率10.26 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6745	ホーチキ	未保有	対象外	2010	対象外	16.66	2.19	13.16	1.99	69.84	11.40	電気機器	📈【B】 アジア組織再編、ROE13%台。 【ファンダメンタル確認値】現在値2010、PER16.66、PBR2.19、ROE13.16、配当利回り1.99、自己資本比率69.84、営業利益率11.40 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6752	パナソニック　ホールディングス	未保有	対象外	4540	対象外	25.24	2.03	8.06	1.19	51.23	2.94	電気機器	📈【B】 グループ成長戦略。 【ファンダメンタル確認値】現在値4540、PER25.24、PBR2.03、ROE8.06、配当利回り1.19、自己資本比率51.23、営業利益率2.94 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6753	シャープ	未保有	対象外	606	対象外	9.37	1.41	15.00	0.00	19.60	2.57	電気機器	📉【D】 配当0・決算短信訂正。 【ファンダメンタル確認値】現在値606、PER9.37、PBR1.41、ROE15.00、配当利回り0.00、自己資本比率19.60、営業利益率2.57 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6758	ソニーグループ	未保有	対象外	3199	対象外	16.29	2.33	14.29	1.09	51.77	11.60	電気機器	📈【A】 自社株買い・TSMC提携基本合意。 【ファンダメンタル確認値】現在値3199、PER16.29、PBR2.33、ROE14.29、配当利回り1.09、自己資本比率51.77、営業利益率11.60 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6788	日本トリム	未保有	対象外	4530	対象外	15.31	1.42	9.27	2.87	65.83	12.17	電気機器	📈【B】 株式報酬制度、指標堅実。 【ファンダメンタル確認値】現在値4530、PER15.31、PBR1.42、ROE9.27、配当利回り2.87、自己資本比率65.83、営業利益率12.17 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6844	新電元工業	未保有	対象外	4080	対象外	15.38	0.57	3.72	2.45	50.16	3.38	電気機器	➖【C】 PBR低いがROE弱い。 【ファンダメンタル確認値】現在値4080、PER15.38、PBR0.57、ROE3.72、配当利回り2.45、自己資本比率50.16、営業利益率3.38 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6861	キーエンス	未保有	対象外	77100	対象外	42.00	5.39	13.04	0.71	94.57	50.95	電気機器	📈【B】 超優良だがPER高い。 【ファンダメンタル確認値】現在値77100、PER42.00、PBR5.39、ROE13.04、配当利回り0.71、自己資本比率94.57、営業利益率50.95 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6897	ツインバード工業	未保有	対象外	730	対象外	173.02	1.19	0.69	1.78	66.13	-9.50	電気機器	📉【D】 PER極端に高くROE低い。 【ファンダメンタル確認値】現在値730、PER173.02、PBR1.19、ROE0.69、配当利回り1.78、自己資本比率66.13、営業利益率-9.50 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6952	カシオ計算機	未保有	対象外	1991	対象外	24.20	1.90	7.87	2.26	66.91	8.35	電気機器	📈【A】 自社株買い・消却。 【ファンダメンタル確認値】現在値1991、PER24.20、PBR1.90、ROE7.87、配当利回り2.26、自己資本比率66.91、営業利益率8.35 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6954	ファナック	未保有	対象外	7026	対象外	35.46	3.52	9.91	1.52	89.20	21.42	電気機器	📈【A】 自社株買い終了・消却、財務厚い。 【ファンダメンタル確認値】現在値7026、PER35.46、PBR3.52、ROE9.91、配当利回り1.52、自己資本比率89.20、営業利益率21.42 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6971	京セラ	未保有	対象外	3411	対象外	31.87	1.35	4.22	1.64	71.87	5.71	電気機器	📈【B】 還元/資本政策材料だがROE低め。 【ファンダメンタル確認値】現在値3411、PER31.87、PBR1.35、ROE4.22、配当利回り1.64、自己資本比率71.87、営業利益率5.71 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
6976	太陽誘電	未保有	対象外	16780	対象外	116.57	6.09	5.23	0.54	55.95	5.63	電気機器	📉【D】 PER/PBR高くROE低め。 【ファンダメンタル確認値】現在値16780、PER116.57、PBR6.09、ROE5.23、配当利回り0.54、自己資本比率55.95、営業利益率5.63 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7003	三井Ｅ＆Ｓホールディングス	未保有	対象外	4088	対象外	13.75	1.80	13.10	1.47	46.32	7.06	機械	📈【A】 Rolling Vision策定、ROE13%。 【ファンダメンタル確認値】現在値4088、PER13.75、PBR1.80、ROE13.10、配当利回り1.47、自己資本比率46.32、営業利益率7.06 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7012	川崎重工業	未保有	対象外	2836	対象外	21.55	2.70	12.53	1.41	26.41	5.46	輸送用機器	📈【A】 増配、防衛・航空宇宙関連。 【ファンダメンタル確認値】現在値2836、PER21.55、PBR2.70、ROE12.53、配当利回り1.41、自己資本比率26.41、営業利益率5.46 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7102	日本車輌製造	未保有	対象外	3255	対象外	6.26	0.57	9.12	1.54	53.91	11.62	輸送用機器	📈【B】 低PER・PBR低い。 【ファンダメンタル確認値】現在値3255、PER6.26、PBR0.57、ROE9.12、配当利回り1.54、自己資本比率53.91、営業利益率11.62 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7182	ゆうちょ銀行	未保有	対象外	3210	対象外	17.32	1.24	7.16	2.90	4.07	対象外	銀行業	📈【A】 中計と配当予想。銀行業の営業利益率は対象外。 【ファンダメンタル確認値】現在値3210、PER17.32、PBR1.24、ROE7.16、配当利回り2.90、自己資本比率4.07、営業利益率対象外 【扱い】銀行業のため営業利益率は単純比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7212	エフテック	未保有	対象外	637	対象外	14.79	0.20	1.38	3.14	31.83	2.88	輸送用機器	📉【D】 PBR0.20・増配だがROE低い。 【ファンダメンタル確認値】現在値637、PER14.79、PBR0.20、ROE1.38、配当利回り3.14、自己資本比率31.83、営業利益率2.88 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7220	武蔵精密工業	未保有	対象外	4530	対象外	45.68	2.43	5.33	0.88	40.46	5.92	輸送用機器	📉【D】 新規受注あるが割高感。 【ファンダメンタル確認値】現在値4530、PER45.68、PBR2.43、ROE5.33、配当利回り0.88、自己資本比率40.46、営業利益率5.92 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7272	ヤマハ発動機	未保有	対象外	1260	対象外	12.23	1.05	8.60	3.97	37.67	4.99	輸送用機器	📈【B】 配当3.97、決算・格付中心。 【ファンダメンタル確認値】現在値1260、PER12.23、PBR1.05、ROE8.60、配当利回り3.97、自己資本比率37.67、営業利益率4.99 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7309	シマノ	未保有	対象外	17700	対象外	36.26	1.76	4.85	2.05	92.45	14.43	輸送用機器	📈【B】 自己株式取得状況、財務厚いがROE低め。 【ファンダメンタル確認値】現在値17700、PER36.26、PBR1.76、ROE4.85、配当利回り2.05、自己資本比率92.45、営業利益率14.43 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7412	アトム	未保有	対象外	387	対象外	74743.73	20.31	0.03	0.00	25.35	0.08	小売業	📉【D】 優待変更・特損、投資指標は厳しい。 【ファンダメンタル確認値】現在値387、PER74743.73、PBR20.31、ROE0.03、配当利回り0.00、自己資本比率25.35、営業利益率0.08 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7448	ジーンズメイト	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	小売業	➖【C】 上場廃止/銘柄整理対象。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7453	良品計画	未保有	対象外	3502	対象外	29.98	4.93	16.45	0.91	59.63	10.03	小売業	📈【A】 業績・配当予想修正。 【ファンダメンタル確認値】現在値3502、PER29.98、PBR4.93、ROE16.45、配当利回り0.91、自己資本比率59.63、営業利益率10.03 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7458	第一興商	未保有	対象外	1673	対象外	14.18	1.40	9.87	4.06	56.09	11.06	卸売業	📈【A】 配当利回り4.06。 【ファンダメンタル確認値】現在値1673、PER14.18、PBR1.40、ROE9.87、配当利回り4.06、自己資本比率56.09、営業利益率11.06 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7459	メディパルホールディングス	未保有	対象外	2626	対象外	13.78	0.82	5.98	2.59	33.93	1.39	卸売業	📈【B】 増配・PBR1倍割れ。 【ファンダメンタル確認値】現在値2626、PER13.78、PBR0.82、ROE5.98、配当利回り2.59、自己資本比率33.93、営業利益率1.39 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7461	キムラ	未保有	対象外	460	対象外	10.61	0.40	3.82	3.04	45.74	2.87	卸売業	➖【C】 PBR0.40・配当3.04だがROE低い。 【ファンダメンタル確認値】現在値460、PER10.61、PBR0.40、ROE3.82、配当利回り3.04、自己資本比率45.74、営業利益率2.87 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7466	ＳＰＫ	未保有	対象外	1269	対象外	9.39	0.88	9.36	3.23	61.04	4.77	卸売業	📈【A】 低PER/PBR・配当3.23。 【ファンダメンタル確認値】現在値1269、PER9.39、PBR0.88、ROE9.36、配当利回り3.23、自己資本比率61.04、営業利益率4.77 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7518	ネットワンシステムズ	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	情報・通信業	➖【C】 非上場化/完全子会社化済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7550	ゼンショーホールディングス	未保有	対象外	7931	対象外	24.82	3.64	14.66	1.01	35.50	6.44	小売業	📈【A】 増配・外食大手成長。 【ファンダメンタル確認値】現在値7931、PER24.82、PBR3.64、ROE14.66、配当利回り1.01、自己資本比率35.50、営業利益率6.44 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7564	ワークマン	未保有	対象外	6740	対象外	24.63	3.58	14.55	1.32	82.83	18.45	小売業	📈【B】 月次、ROEと財務強いが割安感薄い。 【ファンダメンタル確認値】現在値6740、PER24.63、PBR3.58、ROE14.55、配当利回り1.32、自己資本比率82.83、営業利益率18.45 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
7577	ＨＡＰｉＮＳ	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	小売業	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【注記】本行は会話内で収集・反映した数値と材料を統合した作業版。	IRBANK/株探/会社IR
